package_name,version_x,version_y,version,summary_x,license_x,metadata_source_x,summary_y,license_y,metadata_source_y,download_count
ipython,7.34.0,8.14.0,8.13.2,IPython: Productive Interactive Computing,BSD-3-Clause,Anaconda,,,,23972583.0
ipython-genutils,0.2.0,0.2.0,0.2.0,,,,Vestigial utilities from IPython,BSD,PyPI,9631094.0
ipython-sql,0.5.0,0.5.0,,,,,,,,171090.0
ipywidgets,7.7.1,7.7.1,8.0.6,Jupyter Interactive Widgets,BSD-3-Clause,Anaconda,,,,9288457.0
itsdangerous,2.1.2,2.1.2,2.1.2,Various helpers to pass trusted data to untrusted environments.,BSD-3-Clause,Anaconda,,,,40256059.0
jax,0.4.14,0.4.13,,,,,,,,2874243.0
jaxlib,0.4.14+cuda11.cudnn86,0.4.13,,,,,,,,1954259.0
jeepney,0.7.1,0.8.0,0.7.1,Pure Python DBus interface,MIT,Anaconda,,,,19717518.0
jieba,0.42.1,0.42.1,,,,,Chinese Words Segementation Utilities,MIT,PyPI,473964.0
joblib,1.3.2,1.2.0,1.2.0,Lightweight pipelining: using Python functions as pipeline jobs.,BSD-3-Clause,Anaconda,,,,26381382.0
jsonpickle,3.0.2,,,,,,Python library for serializing any arbitrary object graph into JSON,BSD,PyPI,7222963.0
jsonschema,4.19.0,4.17.3,4.17.3,An implementation of JSON Schema validation for Python,MIT,Anaconda,,,,107894215.0
jsonschema-specifications,2023.7.1,,,,,,,,,30232921.0
jupyter-client,6.1.12,8.3.0,8.2.0,,,,Jupyter protocol implementation and client libraries,BSD,PyPI,20309614.0
jupyter-console,6.1.0,6.6.3,6.6.3,,,,Jupyter terminal console,BSD,PyPI,4571075.0
jupyter-core,5.3.1,5.3.1,5.3.0,,,,Jupyter core package. A base package on which Jupyter projects rely.,BSD,PyPI,18463381.0
jupyter-server,1.24.0,2.7.0,2.6.0,,,,,,,14703970.0
jupyterlab-pygments,0.2.2,0.2.2,0.2.2,,,,,,,7944760.0
jupyterlab-widgets,3.0.8,3.0.7,3.0.7,,,,,,,8309384.0
kaggle,1.5.16,1.5.15,,,,,,,,148836.0
keras,2.12.0,2.12.0,,Deep Learning Library for Theano and TensorFlow,Apache-2.0,Anaconda,,,,9495693.0
keyring,23.5.0,24.2.0,23.5.0,Store and access your passwords safely,MIT,Anaconda,,,,24576273.0
